LocationAbbr,LocationDesc,Year,Datasource,TopicDesc,MeasureDesc,SubMeasureDesc,Data_Value,Data_Value_Unit,Data_Value_Type,GeoLocation,Source,TopicTypeId,TopicId,MeasureId,SubMeasureID,SubMeasureIdDisplayOrder
MT,Montana,1979,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.567,$,Dollars,"(47.066528972, -109.424420645)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
OH,Ohio,1979,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.587,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
SD,South Dakota,1979,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.22,$,Dollars,"(44.353130053, -100.373530637)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
NV,Nevada,1980,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.633,$,Dollars,"(39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
ND,North Dakota,1981,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.2,$,Dollars,"(47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
GA,Georgia,1982,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.789,$,Dollars,"(32.839681093, -83.627580346)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NH,New Hampshire,1982,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.747,$,Dollars,"(43.655950113, -71.50036092)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
FL,Florida,1983,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.993,$,Dollars,"(28.932040377, -81.928960539)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NJ,New Jersey,1983,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.41,$,Dollars,"(40.130570048, -74.273691288)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
VT,Vermont,1983,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.906,$,Dollars,"(43.625381239, -72.517640791)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MT,Montana,1984,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.955,$,Dollars,"(47.066528972, -109.424420645)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
RI,Rhode Island,1984,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.003,$,Dollars,"(41.708280193, -71.522470314)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
PA,Pennsylvania,1985,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.34,$,Dollars,"(40.793730152, -77.860700294)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
OH,Ohio,1986,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.022,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MI,Michigan,1987,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.37,$,Dollars,"(44.661319543001, -84.71439027)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
FL,Florida,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.398,$,Dollars,"(28.932040377, -81.928960539)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
VA,Virginia,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.094,$,Dollars,"(37.542680674, -78.457890463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
ME,Maine,1989,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.47,$,Dollars,"(45.254228894001, -68.985031336)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
UT,Utah,1989,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.519,$,Dollars,"(39.360700171, -111.587130635)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
ME,Maine,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.589,$,Dollars,"(45.254228894001, -68.985031336)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
AZ,Arizona,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.657,$,Dollars,"(34.86597028, -111.763811277)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
OR,Oregon,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.48,$,Dollars,"(44.567449424, -120.155031326)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
OH,Ohio,1992,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.625,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
DE,Delaware,1993,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.48,$,Dollars,"(39.008830667, -75.577741168)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
UT,Utah,1993,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.505,$,Dollars,"(39.360700171, -111.587130635)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
MS,Mississippi,1994,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.539,$,Dollars,"(32.745510099, -89.538030825)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MA,Massachusetts,1995,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.076,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
TN,Tennessee,1995,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.37,$,Dollars,"(35.68094058, -85.774490914)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
AL,Alabama,1996,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.674,$,Dollars,"(32.840571122, -86.631860762)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MA,Massachusetts,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.585,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
CO,Colorado,1998,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.042,$,Dollars,"(38.843840757, -106.133610921)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
SD,South Dakota,1998,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.079,$,Dollars,"(44.353130053, -100.373530637)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MT,Montana,1999,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.607,$,Dollars,"(47.066528972, -109.424420645)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
CA,California,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,1.21,$,Dollars,"(37.638640123, -120.999999538)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
OH,Ohio,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.793,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
OR,Oregon,2003,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,1.67,$,Dollars,"(44.567449424, -120.155031326)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
AL,Alabama,2005,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.815,$,Dollars,"(32.840571122, -86.631860762)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
IA,Iowa,2005,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.75,$,Dollars,"(42.469400913, -93.816490556)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
WI,Wisconsin,2005,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.783,$,Dollars,"(44.393191174, -89.816370742)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
OH,Ohio,2006,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.19,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
GA,Georgia,2007,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.655,$,Dollars,"(32.839681093, -83.627580346)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
WY,Wyoming,2008,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.99,$,Dollars,"(43.235541343, -108.109830353)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
PA,Pennsylvania,2010,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,2.61,$,Dollars,"(40.793730152, -77.860700294)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
ME,Maine,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.452,$,Dollars,"(45.254228894001, -68.985031336)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
OH,Ohio,2016,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.227,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
VT,Vermont,2017,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,8.414,$,Dollars,"(43.625381239, -72.517640791)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
IA,Iowa,2019,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.389,$,Dollars,"(42.469400913, -93.816490556)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
WV,West Virginia,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State tax as a Percentage of Retail Price,32.8,%,Percentage,"(38.665510202, -80.712640135)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,454CGS,3
ME,Maine,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,2,$,Dollars,"(45.254228894001, -68.985031336)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
IL,Illinois,1976,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.494,$,Dollars,"(40.485010283, -88.997710178)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NV,Nevada,1982,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.1,$,Dollars,"(39.49324039, -117.071840564)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
FL,Florida,2011,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.519,$,Dollars,"(28.932040377, -81.928960539)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MS,Mississippi,1987,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.18,$,Dollars,"(32.745510099, -89.538030825)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
LA,Louisiana,1971,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.11,$,Dollars,"(31.312660644, -92.445680071)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
OR,Oregon,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State tax as a Percentage of Retail Price,27.5,%,Percentage,"(44.567449424, -120.155031326)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,454CGS,3
NJ,New Jersey,1975,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"170,266,000",$,Dollars,"(40.130570048, -74.273691288)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
WA,Washington,1983,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"99,088,106",$,Dollars,"(47.522278629, -120.47001079)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
NM,New Mexico,2014,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"85,261,335",$,Dollars,"(34.520880952, -106.240580985)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
WI,Wisconsin,1980,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"89,273,000",$,Dollars,"(44.393191174, -89.816370742)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
VT,Vermont,2017,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State tax as a Percentage of Retail Price,48.6,%,Percentage,"(43.625381239, -72.517640791)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,454CGS,3
VT,Vermont,1984,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.33,$,Dollars,"(43.625381239, -72.517640791)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
KS,Kansas,1976,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.19,$,Dollars,"(38.3477403, -98.200781227)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
NV,Nevada,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State tax as a Percentage of Retail Price,29.4,%,Percentage,"(39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,454CGS,3
MO,Missouri,2004,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State tax as a Percentage of Retail Price,18.1,%,Percentage,"(38.635790776, -92.566300053)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,454CGS,3
CT,Connecticut,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,3.4,$,Dollars,"(41.56266102, -72.649840952)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
OH,Ohio,1972,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State tax as a Percentage of Retail Price,54.8,%,Percentage,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,454CGS,3
ID,Idaho,1979,OW,The Tax Burden on Tobacco,Cigarette Sales,Cigarette Consumption (Pack Sales Per Capita),117.5,,Pack,"(43.682630005, -114.363730042)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,453CGS,2
HI,Hawaii,2009,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,7.447,$,Dollars,"(21.304850435, -157.857749403)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
SC,South Carolina,1975,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State tax as a Percentage of Retail Price,34.2,%,Percentage,"(33.998821303, -81.045371207)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,454CGS,3
NM,New Mexico,1976,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"14,101,000",$,Dollars,"(34.520880952, -106.240580985)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
WA,Washington,1995,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.565,$,Dollars,"(47.522278629, -120.47001079)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
NV,Nevada,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.35,$,Dollars,"(39.49324039, -117.071840564)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
AK,Alaska,1978,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"4,676,000",$,Dollars,"(64.845079957001, -147.722059036)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
MO,Missouri,1981,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"62,180,000",$,Dollars,"(38.635790776, -92.566300053)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
KS,Kansas,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.24,$,Dollars,"(38.3477403, -98.200781227)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
ID,Idaho,1985,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State tax as a Percentage of Retail Price,25.1,%,Percentage,"(43.682630005, -114.363730042)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,454CGS,3
KY,Kentucky,1975,OW,The Tax Burden on Tobacco,Cigarette Sales,Cigarette Consumption (Pack Sales Per Capita),223,,Pack,"(37.645970271, -84.774971048)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,453CGS,2
HI,Hawaii,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"120,095,909",$,Dollars,"(21.304850435, -157.857749403)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
AR,Arkansas,2017,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,2.16,$,Dollars,"(34.748650124, -92.274490743)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
MD,Maryland,1985,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.29,$,Dollars,"(39.290580964, -76.609260111)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
ND,North Dakota,1979,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.2,$,Dollars,"(47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
NH,New Hampshire,1971,OW,The Tax Burden on Tobacco,Cigarette Sales,Cigarette Consumption (Pack Sales Per Capita),278,,Pack,"(43.655950113, -71.50036092)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,453CGS,2
KS,Kansas,1989,OW,The Tax Burden on Tobacco,Cigarette Sales,Gross Cigarette Tax Revenue,"57,951,000",$,Dollars,"(38.3477403, -98.200781227)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,456CGS,5
OK,Oklahoma,2006,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.038,$,Dollars,"(35.472031356, -97.521070214)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
WV,West Virginia,1995,OW,The Tax Burden on Tobacco,Cigarette Sales,Cigarette Consumption (Pack Sales Per Capita),115.8,,Pack,"(38.665510202, -80.712640135)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,453CGS,2
LA,Louisiana,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.781,$,Dollars,"(31.312660644, -92.445680071)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
CT,Connecticut,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,Cigarette Consumption (Pack Sales Per Capita),66.4,,Pack,"(41.56266102, -72.649840952)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,453CGS,2
CO,Colorado,2001,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.2,$,Dollars,"(38.843840757, -106.133610921)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
MI,Michigan,1999,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.75,$,Dollars,"(44.661319543001, -84.71439027)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
ME,Maine,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,Cigarette Consumption (Pack Sales Per Capita),79.6,,Pack,"(45.254228894001, -68.985031336)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,453CGS,2
CA,California,2018,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,2.87,$,Dollars,"(37.638640123, -120.999999538)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
NV,Nevada,1978,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.18,$,Dollars,"(39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
DE,Delaware,2019,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,3.11,$,Dollars,"(39.008830667, -75.577741168)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
MS,Mississippi,1981,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.692,$,Dollars,"(32.745510099, -89.538030825)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
UT,Utah,1985,OW,The Tax Burden on Tobacco,Cigarette Sales,State Tax per pack,0.12,$,Dollars,"(39.360700171, -111.587130635)","Table 7- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,451CGS,6
