"treat","text","prison"
1,"I believe that because this person is a violent criminal, he should serve a short prison term then be deported back to his country. If he tries to enter the country again, he should serve an extensive amount of prison time.","Yes"
1,"No lets not spend anymore putting people in prison, send him back to his home country.  We have enough money problems as it is we cant keep locking up people its too expensive.","No"
1,"PErson just should be sent back to their home country","No"
1,"HE SHOULDN'T BE HERE IN THE FIRST PLACE AND NEEDS TO BE JAILED AS A DETERRENT","Yes"
0,"He should not be sent to prison, our prisons are over populated.  He should be sent back where he came from.","No"
1,"This is a dangerous man, already served 2 prison sentences in his home country, now he's trying to enter our country. He needs to be locked up.","Yes"
1,"Because he was convicted of illegally entering the country AND he had a prior criminal record then he should be imprisoned. He should be sent to prison because he has a prior deportation and a conviction for a serious crime‰Û_ not something like a traffic offense.","Yes"
0,"Why? Most people I know want to leave this shitty country and here you have someone who actually wants to be here. I say give him a work permit and a job.","No"
1,"Yes, he illegally entered the country - But, the taxpayers do not deserve to have to support this fellow.  Send him back.","No"
0,"I think that he should be deported. I think that unless he has a good claim for asylum, he needs to go home to his country. He can't just stay here illegally.","No"
0,"beucase it is his first offense he should be sent back home","No"
0,"He has circumvented the law to gain an advantage and was caught. Therefore, the appropriate measure should be to punish him within the confines of the law. He has already shown that he is willing to break the laws, so in order to make sure he would be deported back to where he came from, he should be imprisoned in the interim. This would also serve as a deterrent for others trying to do the same.","Yes"
1,"Why wouldn't he be? Illegally entering the country is an offense of its own and he has priors, too, even for violent crime. He also was deported.","Yes"
1,"If he is simply deported, he will try to reenter the US.  If there is a harsher consequence, then maybe he will now.","Yes"
1,"This man should be imprisoned because he entered illegally. He has a violent past. After serving his prison sentence, here should be deported again.","Yes"
0,"I believe he was trying to get to a better life. This shouldn't be imprisonment. But he should follow the steps to get himself into a citizenship program in the United States.","No"
0,"He could be a refugee. He could have entered because he was in danger.","No"
0,"28 year old male illegally entering country should not be jailed but held until totally investigated to make sure He is not a terrorist and then sent back to his country. He should be put in a database to make sure it doesn't happen again and then He can try to come into Our country legally to gain citizenship.","No"
1,"I don't think she should be sent to jail.  Everyone makes mistakes an no one was harmed in this event.","No"
0,"I don't think he should go to prison because he does not have a criminal background. I would like to think he has a legitimate reason for entering illegally so we cannot be too harsh in punishing him.","No"
0,"He should be made to return to his own country because he came in illegally.  It's not our responsibility to pay for him in prison","No"
0,"   There is no prior offense. I would guess that the country he is coming from is most likely to be Mexico.  Many of these people who come to the country can take the lowest-paying farm jobs that Americans do not want and that make our produce prices affordable. If he is able to work his way up from there, good for him. This is (should be) a land of opportunity.","No"
0,"I believe the man should be sent back to his country.  I don't want my taxpayer dollars paying for someone who came here illegally.","No"
1,"I don't think he should be imprisoned for simply entering the country illegally, unless he was specifically barred due to past crimes. I think most of our immigration laws are too stringent. Depending on the severity of his past misdeeds, I think he should be given an opportunity to legally become a US citizen; if the crimes were very violent, I think he should be deported, fined, and specifically barred from re-entry.","No"
0,"This person should not go to jail.  They should be deported.","No"
0,"crime is crime. so if someone commits crime, he should be punished","Yes"
1,"This activity indeed broke the law. In fact, this person is actually is dangerous for the society. ","Yes"
0,"The US Gov should deport the man back to his country. He wasn't caught committing any damaging crime, so prison isn't appropriate.","No"
1,"This man is likely a danger to himself or others and should be punished, but I do not think he should be sent to prison in the United States. Instead, I think he should be deported back to his country of origin. Additionally, due to this man's willingness to illegally cross the border, criminal recidivism, and history of violent behavior, he should be barred from entering the United States for at least several years.","No"
1,"they should just deport him to his country if he doesnt have his green card if he does have his green card he should stay here of course and get some jail time, but if he doesnt have his papers he should be deported ","Don‰Ûªt Know"
1,"This person has clearly demonstrated a pattern of violence and criminal activity. Allowing him into the United States would have a negative effect on national security.","Yes"
1,"I wouldn't put him in jail here, but I would send him back to his country so he could spend some more time in jail there. For which reason should we spend money to let him stay and eat in US jails?!","Don‰Ûªt Know"
1,"no he should not be sent to prison. if he entered the country illegally and has priors the he should be held at an I.C.E. facility. Then deported back to his home country.","No"
1,"Take away drivers lincenes. To prevent her hurting someone .","No"
0,"This is the thing I don't understand about catching illegal immigrants. Why are we putting them in prison? What aren't we just giving them a one-way ticket back to where they came from? I am all for immigrants coming to this country and following proper channels. But why should we spend further money and resources on them by putting them in jail?","No"
1,"He should be placed in jail for the immigration offense.  While this is more expensive than deporting him, it is more effective in preventing future harm as he is likely to reoffend and attempt to re-enter if he is simply deported.  He has already returned to the country after being deported, in willful contempt of immigration law.","Yes"
0,"If the young man entered the country illegally  before he was 18 and this is his only crime, he should be given a lawyer and 1 year to start the process of becoming a legal citizen or deported.  If he came to the country after he was 18 illegally and this is he only crime, he should be sent back to his country of origin.  If this is NOT his first crime and he gets deported, he should be banned from reentering the country legally for 2 years.","No"
0,"I think they should look into why he's here, how long he's been here, any relevant background info. If they deem he could pose a threat i would recommend deporting. The reason why being if hes simply a law abiding citizen i see no issues letting him remain here.","No"
0,"","No"
1,"He has a prior conviction so jail time is needed. He cannot be put back on the street just to commit another crime.","Yes"
1,"I don't know what the standard protocol is for this, but it sounds like he should be deported again, but I'm not sure if you typically serve prison time before that happens. I have no problem with people illegally entering the country, but if you're going to commit several crimes and still continue doing it after being deported once then maybe you should be forced to leave. Also, it's important if he has US citizenship. At this point, it doesn't sound like the person does.","Don‰Ûªt Know"
0,"This is a non-violent crime; he is not a threat to society with no other offenses. The person could rationally and justifiably be deported. The person should have an opportunity to apply for citizenship, though ideally before they've entered illegally in the first place.","No"
1,"It depends on the nature of the violent action from before. Not enough information to decide.","Don‰Ûªt Know"
1,"He should serve prison time and then be deported. A message should be sent to other potential illegal immigrants that this is what happens. The U.S. can't afford this on any level.","Yes"
1,"I a lot of factors are to be considered when deciding if someone should go to prison or not. Like what were the circumstances of the violent crime, when was he deported before, does he have violent tendencies? It's not fair to the individual to decided their fate on a brief summary. ","Don‰Ûªt Know"
0,"Because he's not a bad man.  He just wants to have a better life in the U.S.","No"
0,"He should be deported. But, he should not be put in jail. Send him back and do not crowd our prisons even more. ","No"
0,"If this man was convicted of a crime after entering the US illegally, then yes he should go to prison.  However, if he was just entering the US (illegally), just trying to find a better life (which is usually the case), then he should be giving information to acquire US citizenship and then be sent back to his country.","Don‰Ûªt Know"
1,"I personally do not believe that she should go to prison this is her first offense.she should be given a harsh probation sentence such as probation, community service and possibly fines but no more than that","No"
0,"It should be on a case by case matter, I need more info. Is he fleeing a war torn country? Let him in. ","No"
1,"I do not believe he should be sent to prison because, assuming he would be sent to a U.S. prison, it would be a burden on the taxpayers and our already overcrowded prison system. I believe the U.S. government should deport the person in question.","No"
0,"I think that first time offenders of illegal border crossings should be given a warning not to return illegally and returned back to the country they are from, or across the border they were caught coming in from.","No"
0,"Most people who come to America do so out of love for their families and to try to make a better life for themselves.  Our prisons should be filled with real criminals, not people who are just trying to make ends meet.","No"
0,"The U.S. Government should look at these type of situations on a case by case basis. Is this man a positive influence in his community? Does he work? Has he ever been convicted of any other crimes? If he is a non violent member of society, he should definitely not be sent to prison and he it should be easier for him to get citizenship so he can pay taxes and contribute like the rest of us.","No"
0,"The male should not be imprisoned, he should be deported. We do not need to be supporting this criminal in our system. The person should be sent back to his country of origin.","No"
1,"American tax dollars shouldn't pay for this man's prison sentence. He should be deported immediately and put in prison in his own country.","No"
1,"We don't want someone who is known to commit a violent crime in our country.  They could come into our country and harm a harmless citizen.  He is also committing a crime by illegally coming into our country.  Doesn't sound like a stand up guy.","Yes"
0,"I think this person should be interviewed by government officials to explain to him the correct process to entry into the United States; as well to find out what drove him to enter the U.S. in a polite manner. If you provide him with guidelines for work visas or a path to seek citizenship, visitor guidelines, the individual will be informed and the U.S. officials could let this occurrence be a warning and learning experience. ","No"
0,"Prison does not make sense. He is not endangering anyone.","No"
0,"There is too much precedent for illegal entry to jail a human being for simply doing so.  If he has never been found worthy of imprisonment before, imprisonment now will solve absolutely nothing and indeed add to the problem.","No"
0,"He seems to be a good person. He is a victim of circumstance.","No"
0,"I think people make mistakes. She has never been in trouble before. She should be arrested but not arrested.","No"
1,"This person has already committed multiple crimes, one of these of a violent nature. I think this time there should be no deportation but he should serve the full sentence for his crime. There is no point in deporting him back to his country and then having him again here trying to enter illegally.","Yes"
1,"I honestly don't know if it's better to put him in prison here in the U.S., which would require our country to spend money on him while he is in prison, or deport him back to his own country again. Deportation might mean he would just come back to the U.S. in the future, but again, imprisonment would mean our country would spend money on his prison stay.","Don‰Ûªt Know"
0,"This person has committed no other crime than entering the US illegally, therefore the punishment should only be up to removing them, no more. There should not be punitive measures for this.","No"
1,"He should be sent to prison or deported only because he previously had convictions for violent crimes and was entering the country illegally.  I would think that the US should really just deport him and not allow him back in the country.","Yes"
0,"The US government should work with the individual to determine if he needs to be sent back to the the country he is a citizen of, or if he qualifies to stay in the country by going through an approved process. His background and history should be taken into account, along with his current situation (family, work, education, etc.). ","No"
1,"The man should be deported back to his country. Attempting to enter the country illegally is not something he should go to jail for.","No"
0,"No jail time for sure. Sounds like they just wanted a better life. However, there are laws. Deport back to country of origin.","No"
0,"I don't think that I have sufficient information to make a determination.  If a conviction assumes that he has done something illegal in addition to (or as a result of) his arrival, then probably yes.  But if his only offense was in being here illegally, I would need to understand more about his purpose for being here, other extenuating circumstances, etc.","Don‰Ûªt Know"
0,"It's against the law to enter the country illegally.  Break laws,  go to jail.","Yes"
0,"There are ways to enter into the United States legally. You have to be a citizen to do most things so if they truly want a better life, get your visa. We will happily allow you to come be here if you truly worked hard for it. ","Yes"
0,"I don't think that prison is the best option for people who enter the country illegally. Depending on the situation, just sending the person back to their home country would probably be the best option. Otherwise, our prisons will become crowded with people who really shouldn't be there.  ","No"
1,"He is violent and will offend in the US. He should be deported immediately.","Yes"
0,"He didn't commit any crime where someone was harmed, a simple deportation is enough.","No"
0,"No, but he should be deported to his home country, or given an opportunity to become a citizen, depending on his background and whether he has the potential to commit criminal activity. Despite it, he still entered the country illegally and there should be ramifications for this.","No"
1,"He should be simply sent back to his mother nation. Illegal entry does not count as something US government can punish him with.","No"
1,"This dangerous criminal should be deported back to his country. There should be zero reason as to why the burden of this criminal should be placed on the backs of the tax payers. Make sure he is returned to his country and given to the correct authorities.","No"
1,"The offender was previously deported following a violent crime and the fact that he was able to re-enter the United States showcases that his government is either unwilling or unable to prosecute him or prevent him from re-entering the United States.  In the face of such inaction on behalf of his home nation, it falls to the United States to ensure that he does not re-enter our society, and the only obvious way to do so is to detain him.  Due to this, I would suggest that such an individual be imprisoned.","Yes"
0,"The 28yr old man did not commit a violent crime or robbery,  so I don't see him as a threat or a reason for him to be imprisoned because we'd waste taxpayer money on this individual. He should be detained temporarily, but only until a full background check is made. His information should then be sent to the immigration office to keep track of this individual.","No"
0,"I don't think the man should be send to prison but they should be removed from the USA and sent back to their country of origin. If they were a legitimate asylum seeker/refugee, they should have presented themselves at the port of entry to file a claim for their circumstances. Entering illegally is dishonest and attempts to go around the law.","Don‰Ûªt Know"
1,"This person is a criminal. He should be arrested and send back to his own country. USA does not need any more criminals.","Yes"
0,"This is his only offense, help him get home and help him gain legal entry. No reason to jail him when hes commited no offense that hurt anyone","No"
0,"He should go to jail even if it is just for a month. This would give authorities the time to produce documentation on the illegal alien and insure he is sent back to his country of origin","Yes"
0,"If his only crime was entering the US illegally, I would investigate further into his reasoning for coming here. Perhaps give him a probation period allowing him some time to gather all necessary documents and save up enough money to become a citizen, especially if his goal was to work and go to school here.","No"
0,"The gentleman should not be sent to prison as this was essentially a victimless crime.  Assuming he would be deported, which would be punishment enough.  ","No"
1,"My opinion is that this man should be deported.  It doesn't seem to make sense to send somebody to prison just for the crime of entering the country illegally.  Also, that would be expensive for US taxpayers.  But he shouldn't be welcomed to this country either.","Don‰Ûªt Know"
0,"I feel that they should follow the law in this regard. If there is a way for him to be legalized, he should do so, if not, he can go back to his country.","No"
0,"For most first offenses that do not harm others, there are no prison sentences given out. Even drug dealers and drunk drivers who put lives in danger aren't given prison on their first offense. ","No"
0,"No record of imprisonment. Would probably make a good citizen in the end.","No"
1,"I don't think that he should go to prison I think that he should be sent to his home country.","No"
1,"If you have already committed a violent crime, you should know not to re-offend. Those who break the law with prior crimes should have stiffer consequences as a deterrent.","Yes"
1,"Depending on the circumstances of the previous incarcerations, deportation could be a much simpler option","Don‰Ûªt Know"
1,"Since he had served two prison sentences each more than a year, he has a bad history of crime. Since we had deported him once before because of a violent crime, I do not think he should be allowed to in the country.","Yes"
0,"I don't think this is an effective punishment at all. This is costly and a burden on the prison system (which is probably already too bloated). A better method would be taking steps to becoming a legal citizen.","No"
0,"He should be deported, they should not house him in the united states jails.","No"
0,"I think prison is too harsh unless he committed a crime. I think he should be deported back to his own country and pay a fine. Maybe he should do prison time upon a second offense.","No"
0,"I don't think American tax payer dollars should go to paying for someone's care in jail for someone who is not also an American citizen. There was no injury to person or property and this person does not seem like a criminal threat.","No"
1,"He has a history of violence in a short time span. There is no sign that this pattern is going to stop at his present time.","Yes"
0,"He has caused no harm by entering the country illegally. He is not a danger to anyone. The government should not involve themselves with him.","No"
1,"Because of the fact that the immigrant has been known to be violent in the past. Therefore he should not be allowed to be violent in the U.S.","Yes"
1,"He should be redeported. He is not worth the tax money to house, feed and care for in prison. There are already too many people in our prisons that don't belong there as is.","No"
1,"Just deport him again. Why should taxpayers pay for his jail time? And build the wall so he can't come back in.","No"
1,"The individual shows a pattern of disdain for the law, considering the previous convictions with time served, one of which involved violence. He should be deported again after his sentence for this most recent violation and should be warned of increasingly serious consequences should he return. ","Yes"
1,"I think this person should be deported. I think his presence in the US hurts the case for other undocumented immigrants who are lawfully living in this country without felony convictions. I think fighting for this person right to stay here jeopardizes the right of the majority of undocumented immigrants that their only lawlessness came when they crossed the border.","Yes"
0,"He should not because he should just be deported. If he goes to prison, now we still pay for his living here even though its prison.","No"
0,"I think he should be listened to. The reason why he crossed illegally should be heard. Perhaps it was to escape a dangerous situation or something similar. If anything, he should be deported. He should not be imprisoned.  If there is a valid reason for coming here, he should be given assistance ","No"
1,"The age of this man (as long as he is under 70) is irrelevant here. Another countries citizen who illegally entered the U.S. had committed a crime under today's laws. I'm more in favor of an open, border-less system, but given this scenario I have to judge by the laws of today. If this man has many previous convictions and is an obvious danger to society, he should not be outside of jail. It's possible that he committed these crimes when he was much younger. It's also possible that he had to do these things in order to survive. Again, it's also possible that he only wanted to get out of it and came in illegally because it could be years or potentially never that he would be allowed legally inside with his record. Still, I have to go on the assumption that he is in control of his actions and therefore recommend jail time.","Yes"
1,"I am up in the air on this. I would like to learn more about his previous convictions. He had been sentenced for a violent crime, but perhaps he was he was just guilty of trying to stop the Russian infiltration of Crimea and the Russians sent him away. If this is the case, maybe he does not need sent to prison. Perhaps he was trying to enter the US to make a better situation for himself.If he was convicted of assaulting someone without """"good intentions"""" (weird phrasing, I know), then he should be sent to prison while immigration works on deportation.","Don‰Ûªt Know"
0,"I WOULD POSSIBLY THINK THAT S/HE HAVE A BAD PURPOSE ANY SUCH HING THAT CAN BE DANGEROUS IN COUNTRY, BECAUSE IF S/HE HAVE A CLEAN INTENTION TO ENTER TO A CERTAIN COUNTY S/HE WILL PROVIDE THE PROOF THAT S/HES VISIT IS TO DO A BUSINESS OR RELATIVE ,","Yes"
1,"He appears to be a repeat offender.  This poses a risk to the rest of society.","Yes"
1,"Since he is here illegally and committed a violent crime and he should be sent to prison. After his prison sentence, he should be sent back to his country and not be let back into the U.S.","Yes"
0,"The U.S. government should not do anything except maybe deporting the person. Prison is not needed as the person does not need to be rehabilitated or corrected. It is a waste of time and money to have this person in prison.","No"
0,"I think that he should be possibly deported, but should not spend any time in prison. That would do him no good, and paying for his punishment doesn't help anyone. ","No"
1,"He had already been given a chance to be here but committed a violent crime and was deported. He should not be allowed to return and should not keep trying. I feel like he needs to receive a consequence so he stops repeating this offense.","Yes"
0,"I don't believe this person belongs in jail, because he hasn't committed a crime that has hurt anyone else. He should either be deported or given a chance to gain lawful citizenship.","No"
1,"We don't need criminals illegally coming to the country. They US government should put him in prison and then deport him, alerting his home country to his crimes.","Yes"
1,"This person is a known criminal who has been convicted of violent crimes. In addition, they are in the country illegally. They should definitely go to prison as it is likely they will break more laws.","Yes"
0,"I don't think this warrants imprisonment.  I believe deportation would be sufficient.","No"
1,"","Yes"
1,"He should serve a prison sentence of a year and then be deported. I think he deserves jail time because of his repeated offenses.","Yes"
0,"It seems as though he is not a criminal if he has no prior arrest. For one reason or another, he has fled his native homeland. Prison isn't the answer. ","No"
1,"They should send him to prison because he is a previous offender. He has already had multiple chances to fix things.","Yes"
1,"I think that if he was caught illegally entering the United States from another country, he should be held under the law. Although I do not agree with putting the man in prison in the United States, because he is not from the United States. It costs money to put people in prison, and I don't think the United States should spend money on convicting non-citizens. If however the question means the person is sent to prison in their own country, then yes I agree with that. I say this mostly people he had been convicted before and hasn't learned from his mistakes.","Don‰Ûªt Know"
1,"The person already has a record of violent crime and has shown that they have no regard towards the laws of another country. The recidivism rate in the US is extremely high, so the odds are against the person. They will commit a crime again. ","Yes"
1,"He should be sent to prison and then deport him back to his country. He is a violent offender and needs to be punished and not allowed in this country any longer.","Yes"
1,"Sending him to pirson would just add to the expense on the prison/tax payers. He should be deported again. As a last resort if he's caught again he should serve at least 5 years in prison, while it would cost us more perhaps he will learn and once released and deported not return.","No"
0,"Jail time for illegally entering the country is extreme if no other crime was committed.  Give him all the info he needs to apply to enter legally, if there is no chance, deport him immediately.  If there is a chance, give him a chance to apply.","No"
0,"I don't think that qualifies as an imprisonable offense.","No"
0,"This person, if caught, should be deported where they can apply for a proper visa.  They should not be imprisoned while this process plays out.","No"
1,"He should be deported given his violent criminal history.","No"
1,"He is a violent criminal.  He needs to serve jail time and then be deported.","Yes"
0,"It is hard for immigrants to gain citizenship the legal way. It may be illegal, but there are so many legal citizens getting away so much worse things than entering a country. Like our President for starters.","No"
1,"They should take different precautions towards this individual. Other incarcerations have not worked, the countries need to look at a solution to problems like this.","Don‰Ûªt Know"
1,"He has multiple offenses and has proven he has no intention of becoming a law abiding citizen. So, unless the sentence is life. He should be deported.","No"
0,"He should be processed by immigration to see if he has the ability to legally stay in the country (such as a refugee). If that's not the case, his illegal entry should be recorded and he should be returned to his home country.","No"
1,"Respect is a feeling of admiration or deference toward a person, child, non-human animal, group, ideal, or indeed almost any entity or concept, as well as specific actions and conduct representative of that esteem. Respect can be a specific feeling of regard for the actual qualities of the one respected (e.g., """"I have great respect for her judgment""""). It can also be conduct in accord with a specific ethic of respect.","Yes"
0,"Regardless of being caught or convicted of any previous crimes, he has committed this crime. Illegally entering into a state is a crime, it has consequences. He should be detained, and have to answer for his crime against the US and its people.","Yes"
1,"he should be departed.  No reason to spend money to send him to prison.","No"
0,"wanting to improve your quality of life is not a crime. the man should be screened for desirable qualities and  professional skills and then sent home to go through the actual immigration process.","No"
0,"Since he didn't have a record, he probably moved as a last resort and wouldn't have been able to do it legally, or he likely would have done so. I think something like community service is more apt and less harsh.","No"
0,"Anyone caught entering illegally should be deported back to their country. There are many ways to come legally. Laws should be obeyed and practiced.","No"
0,"The man should be imprisoned as he entered the country illegally. After the imprisonment, he should be returned to his country at his own expense.","Yes"
1,"While a prison sentence isn't appropriate for illegal entry of the US the person in question has served time before. The fact that they committed a violent crime in the past means they need to be deported asap. If they try it a third time then I suppose deportation isn't gonna work and they should probably serve a lengthy prison stay.","Yes"
0,"He has no criminal records and presumable poses no threat to citizens' well being.  His only crime is being here illegally.   US jails are already overcrowded.","No"
0,"His punishment should be deportation. Jailing this man would cost taxpayers more, and it is an excessive punishment for the crime. He was just trying to improve his life, and has done no harm to Americans.","No"
0,"Since this is a first offense, prison should not be an option. However, I do believe she should be issued a DUI.","No"
0,"No, he should not be imprisoned in the USA. He is here illegally and should be deported back to the country he is from. ","No"
1,"He shouldn't be sent to prison in this country, at least. American taxpayer should not pay any money to imprison him. He should be sent back to his own country.","No"
1,"The U.S government should sentence this man for about 5 years to prison for his action. He had done more than once already, so he needs to be punished more severely.","Yes"
1,"Since he was caught doing something illegally, he should have to pay for his crime. The fact that he has prior crimes against him, seems he is dangerous and should be punished. ","Yes"
0,"I am strictly against illegals coming into this country therefore I believe anyone that comes to this country illegally should be sent to prison.  At the very least, those people should be made to go back to their own country.","Yes"
1,"If he convicted a crime such as illegal entering to this country it means he went against the law. If he did it he deserves to follow the law. Moreover, he needs to serve the prison and than being deported back again. There is no respect if this guy does this crime again and again","Yes"
1,"Being deported the first time was almost like probation. He broke the law again by sneaking back in which is 2 strikes against him. Since he has chosen to break the law to come to this country, he should be subject to our countries laws. He should serve time under the habitual criminal act.","Yes"
1,"He should not be sent to prison for simply trying to enter the US.  He should be deported.","No"
1,"I believe that this person needs to go to prison and then promptly be deported.  Unfortunately, a past history of violent crime is a strong indicator that they might perpetuate more violent crime.  I don't believe that this person has demonstrated that they truly want to be a citizen of the U.S.  Rather, they are opportunistic and will resort to violence and crime when it is convenient for them.","Yes"
0,"They should find out more about his background.  If found to be in good standing in his country, should be sent to a government (usa) resources center.  Inform him what he needs to do to become legal, provide resources. Even if he is sent back to his country he should be able to apply, now that he he has more info.","No"
1,"He should be jailed because obviously he cannot be trusted to follow the law since he has been previously convicted of a violent crime and entered the country illegally.  No one should come here illegally, and if a criminal is here illegally, the country should punish him to the full extent possible under the law.","Yes"
0,"We should not be excessive in punishing a person looking for a better life. We should return them but not imprison them.","No"
1,"He should be deported instead. If he illegally renters the US once again then he should serve some time. I'm not sure how much.","No"
1,"I believe they should either lock him up, having him serve time for committing the same crime again or send him back to wherever he entered ther US from illegally. They make him spend time in jail there. ","Yes"
0,"The processes around coming into the US are lengthy and difficult. The US is a melting pot of individuals. This person came here and is living responsibly. This is the type of person we need here in America. The conviction should walk this person through becoming a US citizen.","No"
0,"They committed no other crime. So I think just entering illegally should be a fine.","No"
1,"No he shouldn't be in prison. Illegally entering the country should not be a criminal offense.","No"
0,"If he has never been imprisoned before, then he doesn't sound like a criminal. He should be deported maybe but not imprisoned.  It seems wrong to send someone to jail for trying to make a better life for themselves.","No"
1,"Entering the US illegally is against the law so it should be dealt with accordingly. He also has a history of violence so he should be sent to prison.","Yes"
0,"If the person is from another country and illegally enters the US instead of prison they should be sent back. If they go to prison they'd still be in the US and money will still be spent on them.","No"
1,"No, he should not be sent to prison.  He should be deported back to his country this costs money, but is probably cheaper than putting him in prison here and then deporting him.","No"
0,"Given that he had no prior convictions before it seems harsh and a waste of government money to put the guy in jail. The best course of action would be to deport him.","No"
1,"This guy broke the law and he is bad for our country.   We need to make sure he learns that he is not welcome here.","Yes"
0,"","Yes"
1,"He should stay in prison in the United States until being deported to another country. He should not be allowed to reenter the US under any circumstances.","Yes"
0,"They should just send him back to his home country and tell him not to come back. We can not just let anyone into the USA. If he wants to get into the USA there are other legal options.","No"
0,"","No"
0,"The act of entering is itself an illegal act, but is in and of itself not malicious.  Prison should be kept as a resort for violent individuals, or those who refuse to cooperate with non incarceration punishment.","Don‰Ûªt Know"
0,"If the citizen entered the US illegally, he should just be sent back to his home country.  Because the man has never been imprisoned before, the only punishment should be deportation.","No"
1," Yes, I do believe he should go to prison and be held there. I also believe that he should be deported back to his country as soon as possible today due to the fact that he is here illegally and has committed crimes. ","Yes"
1,"Because he broke the law on the same offense, he should be sent back to prison again. Then, after serving his sentence, he should be deported.","Yes"
1,"This person has a history of violence. I feel he has also not learned his lesson yet since he is a repeat offender.","Yes"
